scenario,model,attack_type,member_set,non_member_set,attack_auc,attack_auc_ci_low,attack_auc_ci_high,tpr_at_fpr_0.001,tpr_at_fpr_0.01,tpr_at_fpr_0.05,permutation_p_value,mean_member_score,mean_non_member_score,attack_auc_bootstrap_mean,threshold_balanced_attack_accuracy,attack_threshold,member_count,non_member_count
s3_simulated_data_provider_withdrawal,fine_tuned,confidence,retain,forget,0.5059866628283292,0.49210517715533725,0.5189082824838801,0.0,0.010956880366870826,0.0441968545135576,0.2,0.8086445,0.8031239,0.5061209553853439,0.5057438212752873,0.9944253,32491,1698
s3_simulated_data_provider_withdrawal,fine_tuned,loss,retain,forget,0.5059852671351337,0.49335597451304714,0.5190593739757743,0.0,0.01040288079775938,0.04404296574435998,0.175,-0.29550588,-0.30545753,0.5059810032924221,0.505759210152207,-0.005590439,32491,1698
s4_random_10_percent,baseline,confidence,train,test,0.5049096995533419,0.49735759029610543,0.5130142650040526,0.0,0.008540758723566058,0.048904618444528945,0.115,0.80536366,0.80027926,0.5046329178699849,0.5023823785317085,0.99314475,34189,7327
s4_random_10_percent,baseline,loss,train,test,0.5049098771960647,0.4977602929756439,0.5118493229993918,0.0,0.008043522770481733,0.0488753692708181,0.1,-0.29892817,-0.31255314,0.5052241016341043,0.5023823785317085,-0.006878972,34189,7327
s4_random_10_percent,fully_retrained,confidence,retain,forget,0.49951697500338155,0.48941508163816816,0.509078163967954,0.0,0.013747156321091972,0.051998700032499186,0.52,0.807368,0.80506855,0.49954022755894983,0.49704672307146697,0.9935347,30770,3419
s4_random_10_percent,fully_retrained,loss,retain,forget,0.4995160197040701,0.4889827407356641,0.508139872311177,0.0,0.013454663633409164,0.051998700032499186,0.5,-0.2990561,-0.3080964,0.49892724808780925,0.49704672307146697,-0.006486416,30770,3419
s4_random_10_percent,fine_tuned,confidence,retain,forget,0.49836769289893235,0.4873951309487225,0.5086519378127714,0.0,0.013422164445888852,0.049366265843353914,0.66,0.8060432,0.8052298,0.49812133551223964,0.4973717054412043,0.994051,30770,3419
s4_random_10_percent,fine_tuned,loss,retain,forget,0.49836701801086153,0.48895065040199087,0.5075331481731967,0.0,0.013162170945726357,0.049171270718232046,0.64,-0.29640174,-0.3011933,0.4979289737100679,0.4973717054412043,-0.0059666634,30770,3419
s5_retention_expiry,baseline,confidence,train,test,0.5049096995533419,0.49735759029610543,0.5130142650040526,0.0,0.008540758723566058,0.048904618444528945,0.115,0.80536366,0.80027926,0.5046329178699849,0.5023823785317085,0.99314475,34189,7327
s5_retention_expiry,baseline,loss,train,test,0.5049098771960647,0.4977602929756439,0.5118493229993918,0.0,0.008043522770481733,0.0488753692708181,0.1,-0.29892817,-0.31255314,0.5052241016341043,0.5023823785317085,-0.006878972,34189,7327
s5_retention_expiry,fully_retrained,confidence,retain,forget,0.593076307512569,0.5854213518321432,0.6011097839957525,0.0,0.019857362606628442,0.11138302335337714,0.0,0.8156894,0.750027,0.5934169653197862,0.55771587310788,0.99356276,28604,5585
s5_retention_expiry,fully_retrained,loss,retain,forget,0.5930767863757966,0.5851846988770313,0.601346584913342,0.0,0.019787442315760035,0.11138302335337714,0.0,-0.28167838,-0.40561554,0.593277625259666,0.55771587310788,-0.0064578056,28604,5585
s5_retention_expiry,fine_tuned,confidence,retain,forget,0.5959362758863133,0.5895612567474333,0.6031918782574436,0.0,0.02157040973290449,0.12386379527338834,0.0,0.81613135,0.7559869,0.5960737599601987,0.5630661524823205,0.99383646,28604,5585
s5_retention_expiry,fine_tuned,loss,retain,forget,0.5959367015425155,0.5890496668176076,0.603954339937431,0.0,0.02136064886029926,0.12386379527338834,0.0,-0.282281,-0.38289267,0.596048373965139,0.5630661524823205,-0.0061826706,28604,5585
