scenario,display_name,model,attack_type,member_set,non_member_set,attack_auc,attack_auc_ci_low,attack_auc_ci_high,tpr_at_fpr_0.001,tpr_at_fpr_0.01,tpr_at_fpr_0.05,permutation_p_value,mean_member_score,mean_non_member_score,attack_auc_bootstrap_mean,threshold_balanced_attack_accuracy,attack_threshold,member_count,non_member_count
s2_random_5_percent,Random 5%,gradient_ascent,confidence,retain,forget,0.5022874408737285,0.4889307070017743,0.5166144372376457,0.0,0.008620689655172414,0.052309113300492614,0.38,0.8030050992965698,0.802300214767456,0.5018557554300421,0.5016283504887196,0.9923521280288696,32480,1709
s2_random_5_percent,Random 5%,gradient_ascent,loss,retain,forget,0.5022873778201178,0.48875563112469805,0.5172263324546263,0.0,0.008620689655172414,0.05224753694581281,0.345,-0.30027663707733154,-0.2971513569355011,0.5024470364549465,0.5016283504887196,-0.0076770782470703125,32480,1709
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),baseline,confidence,train,test,0.5049096995533419,0.49844854346476636,0.5113489333359439,0.0,0.008540758723566058,0.048904618444528945,0.115,0.805363655090332,0.8002792596817017,0.5048623252615267,0.5023823785317085,0.9931447505950928,34189,7327
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),baseline,loss,train,test,0.5049098771960647,0.4974179166806713,0.5127977127397375,0.0,0.008043522770481733,0.0488753692708181,0.1,-0.2989281713962555,-0.31255313754081726,0.5049064113203356,0.5023823785317085,-0.006878972053527832,34189,7327
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),fully_retrained,confidence,retain,forget,0.5055286398237526,0.49228468694911065,0.5217173952832288,0.0,0.00951032593641316,0.04650518605152196,0.18,0.8071988224983215,0.8024175763130188,0.5053189900122449,0.5063635271798924,0.9939305782318115,32491,1698
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),fully_retrained,loss,retain,forget,0.505528041669526,0.4893601851626213,0.5192457394422133,0.0,0.009356437167215537,0.04650518605152196,0.195,-0.30013328790664673,-0.3096705973148346,0.5045357697442469,0.5063635271798924,-0.006087779998779297,32491,1698
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),gradient_ascent,confidence,retain,forget,0.5046531323578634,0.4917820074620995,0.5201428514008785,0.0,0.01040288079775938,0.04604351974392909,0.265,0.8033794164657593,0.8004119396209717,0.5051075859969891,0.5060536742275898,0.9921984672546387,32491,1698
s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),gradient_ascent,loss,retain,forget,0.5046534586238052,0.4910349341779779,0.5181260293865807,0.0,0.01027976978240128,0.04604351974392909,0.22,-0.2998317778110504,-0.30327096581459045,0.5049949174624367,0.5060536742275898,-0.007832050323486328,32491,1698
s4_random_10_percent,Random 10%,baseline,confidence,train,test,0.5049096995533419,0.49844854346476636,0.5113489333359439,0.0,0.008540758723566058,0.048904618444528945,0.115,0.805363655090332,0.8002792596817017,0.5048623252615267,0.5023823785317085,0.9931447505950928,34189,7327
s4_random_10_percent,Random 10%,baseline,loss,train,test,0.5049098771960647,0.4974179166806713,0.5127977127397375,0.0,0.008043522770481733,0.0488753692708181,0.1,-0.2989281713962555,-0.31255313754081726,0.5049064113203356,0.5023823785317085,-0.006878972053527832,34189,7327
s4_random_10_percent,Random 10%,fully_retrained,confidence,retain,forget,0.49951697500338155,0.489178266699497,0.5101922443899698,0.0,0.013747156321091972,0.051998700032499186,0.52,0.8073679804801941,0.8050685524940491,0.49983956035541377,0.49704672307146697,0.9935346841812134,30770,3419
s4_random_10_percent,Random 10%,fully_retrained,loss,retain,forget,0.4995160197040701,0.4897991062100649,0.5083370918760335,0.0,0.013454663633409164,0.051998700032499186,0.5,-0.29905611276626587,-0.30809640884399414,0.49930971606913216,0.49704672307146697,-0.006486415863037109,30770,3419
s4_random_10_percent,Random 10%,gradient_ascent,confidence,retain,forget,0.4973607884137497,0.4865567827278405,0.5076873888707355,0.0,0.013584660383490413,0.05004874878128047,0.71,0.8025894165039062,0.8037952184677124,0.4970955640431345,0.498509143735285,0.991966724395752,30770,3419
s4_random_10_percent,Random 10%,gradient_ascent,loss,retain,forget,0.4973605080025091,0.4870656104957146,0.5082955480447494,0.0,0.013292167695807605,0.049658758531036726,0.725,-0.30008259415626526,-0.2994581460952759,0.49746483229548305,0.498509143735285,-0.00806570053100586,30770,3419
s5_retention_expiry,Simulated Retention Expiry,baseline,confidence,train,test,0.5049096995533419,0.49844854346476636,0.5113489333359439,0.0,0.008540758723566058,0.048904618444528945,0.115,0.805363655090332,0.8002792596817017,0.5048623252615267,0.5023823785317085,0.9931447505950928,34189,7327
s5_retention_expiry,Simulated Retention Expiry,baseline,loss,train,test,0.5049098771960647,0.4974179166806713,0.5127977127397375,0.0,0.008043522770481733,0.0488753692708181,0.1,-0.2989281713962555,-0.31255313754081726,0.5049064113203356,0.5023823785317085,-0.006878972053527832,34189,7327
s5_retention_expiry,Simulated Retention Expiry,fully_retrained,confidence,retain,forget,0.593076307512569,0.5854654979636474,0.6010299120335559,0.0,0.019857362606628442,0.11138302335337714,0.0,0.8156893849372864,0.7500270009040833,0.5931118297557308,0.55771587310788,0.9935627579689026,28604,5585
s5_retention_expiry,Simulated Retention Expiry,fully_retrained,loss,retain,forget,0.5930767863757966,0.5847435816345389,0.5994514113894877,0.0,0.019787442315760035,0.11138302335337714,0.0,-0.28167837858200073,-0.40561553835868835,0.5929889217555193,0.55771587310788,-0.006457805633544922,28604,5585
s5_retention_expiry,Simulated Retention Expiry,gradient_ascent,confidence,retain,forget,0.6020966822978474,0.5944201957376781,0.6095214610103117,0.0,0.02576562718500909,0.13428191861278144,0.0,0.8092581033706665,0.7463701963424683,0.6019248287687057,0.5682024206817835,0.9910005331039429,28604,5585
s5_retention_expiry,Simulated Retention Expiry,gradient_ascent,loss,retain,forget,0.6020966103118721,0.5945359947801816,0.6090058593871522,0.0,0.025590826457838063,0.13428191861278144,0.0,-0.28957399725914,-0.3892558813095093,0.6020702735426096,0.5682024206817835,-0.009040355682373047,28604,5585
