candidate_index,scenario,display_name,method,learning_rate,retain_weight,selected_epoch,actual_epochs_completed,optimizer_steps,runtime_seconds,forget_loss_change,selection_valid,validation_loss,validation_accuracy,validation_f1,validation_balanced_accuracy,validation_auroc,validation_safety_score,early_stopping_reason
6,s3_simulated_data_provider_withdrawal,Simulated Data Provider Withdrawal (~5%),NegGrad+,5e-05,0.5,3,3,21,0.12497554090805352,0.0007414336549941281,True,0.30109375317403275,0.8603603603603603,0.6880146386093321,0.7860262927289088,0.9165646566870728,-0.0,no_validation_acceptable_forget_loss_improvement
0,s4_random_10_percent,Random 10%,NegGrad,1e-05,0.0,3,3,42,0.15414825011976063,0.00017530198472398562,True,0.30106221917643433,0.8610428610428611,0.6884944920440637,0.7858883630215726,0.9165689046149795,-0.0,no_validation_acceptable_forget_loss_improvement
1,s4_random_10_percent,Random 10%,NegGrad,5e-05,0.0,3,3,42,0.14693154289852828,0.0009857753575562844,True,0.30122582529400205,0.8606333606333606,0.6901365705614567,0.7879652926888862,0.9165352794507049,-0.0,no_validation_acceptable_forget_loss_improvement
2,s4_random_10_percent,Random 10%,NegGrad,0.0001,0.0,3,3,42,0.15383245807606727,0.0021562529398217456,True,0.30155977413949175,0.8611793611793612,0.692842041679251,0.790279236261459,0.9165001700706559,-0.0,no_validation_acceptable_forget_loss_improvement
3,s4_random_10_percent,Random 10%,NegGrad+,1e-05,0.1,3,3,42,0.24153929110616446,0.0001728469672068189,True,0.3010500149098114,0.8610428610428611,0.6884944920440637,0.7858883630215726,0.916575302096767,-0.0,no_validation_acceptable_forget_loss_improvement
4,s4_random_10_percent,Random 10%,NegGrad+,1e-05,0.5,3,3,42,0.23792899900581688,0.00014705347993915208,True,0.3010339348035662,0.8610428610428611,0.6884944920440637,0.7858883630215726,0.9165799082836539,-0.0,no_validation_acceptable_forget_loss_improvement
5,s4_random_10_percent,Random 10%,NegGrad+,5e-05,0.1,3,3,42,0.23518579197116196,0.0009657462705259245,True,0.30117333892945414,0.8603603603603603,0.6887739580164284,0.7868083209025998,0.9165413698533666,-0.0,no_validation_acceptable_forget_loss_improvement
6,s4_random_10_percent,Random 10%,NegGrad+,5e-05,0.5,3,3,42,0.24157599883619696,0.0007716796139451976,True,0.30098693324606374,0.8618618618618619,0.6895705521472393,0.7862311656856682,0.9165812389598657,-0.0,no_validation_acceptable_forget_loss_improvement
0,s5_retention_expiry,Simulated Retention Expiry,NegGrad,1e-05,0.0,3,3,66,0.2345074589829892,0.0003653614939380101,True,0.3011307523382709,0.8614523614523615,0.6902654867256637,0.7873305601358682,0.9165410115943866,-0.0,no_validation_acceptable_forget_loss_improvement
1,s5_retention_expiry,Simulated Retention Expiry,NegGrad,5e-05,0.0,3,3,66,0.24021716706920415,0.002832494063791491,True,0.3021768116898918,0.8617253617253617,0.6973409023005677,0.7945482502682593,0.9163528744499829,-0.0,no_validation_acceptable_forget_loss_improvement
2,s5_retention_expiry,Simulated Retention Expiry,NegGrad,0.0001,0.0,3,3,66,0.23419558291789144,0.010139423240586531,True,0.3063561590990993,0.85995085995086,0.7063537492844877,0.8064808844779588,0.9159378058316169,-0.0,no_validation_acceptable_forget_loss_improvement
3,s5_retention_expiry,Simulated Retention Expiry,NegGrad+,1e-05,0.1,3,3,66,0.37190224998630583,0.00036920832541764703,True,0.30113245495967517,0.8614523614523615,0.6902654867256637,0.7873305601358682,0.916538350241963,-0.0,no_validation_acceptable_forget_loss_improvement
4,s5_retention_expiry,Simulated Retention Expiry,NegGrad+,1e-05,0.5,3,3,66,0.3674587920540944,0.00025932176794019046,True,0.3010876976317667,0.8611793611793612,0.6890859064506267,0.7863690953930045,0.9165550348744645,-0.0,no_validation_acceptable_forget_loss_improvement
5,s5_retention_expiry,Simulated Retention Expiry,NegGrad+,5e-05,0.1,3,3,66,0.3806267490144819,0.0023031387034547213,True,0.30178230843874654,0.8617253617253617,0.6955214908325819,0.792593179834032,0.9163827634848936,-0.0,no_validation_acceptable_forget_loss_improvement
6,s5_retention_expiry,Simulated Retention Expiry,NegGrad+,5e-05,0.5,3,3,66,0.36248520796652883,0.0015574997626145448,True,0.30138851263273814,0.85995085995086,0.6890909090909091,0.7875167012659541,0.9164634229352691,-0.0,no_validation_acceptable_forget_loss_improvement
