scenario,display_name,method,learning_rate,retain_weight,epoch,forget_train_loss,retain_train_loss,objective,forget_loss,forget_loss_change,validation_loss,validation_accuracy,validation_f1,validation_balanced_accuracy,validation_auroc,selection_valid,validation_safety_score,cumulative_optimizer_steps,runtime_seconds,scenario_seed,candidate_method,candidate_learning_rate,candidate_retain_weight
s1_random_1_percent,Random 1%,NegGrad+,1e-05,0.1,2,0.3123895987781168,0.31663006474400124,-0.2807265997630114,0.304776520408385,0.00011862814426422119,0.30105039378902215,0.8610428610428611,0.6884944920440637,0.7858883630215726,0.9165698770322112,True,-0.0,4,0.026697500026784837,942,NegGrad+,1e-05,0.1
s1_random_1_percent,Random 1%,NegGrad+,1e-05,0.1,3,0.30799080422747205,0.29989485486209044,-0.27800132098950836,0.30483098641822215,0.00017309415410138307,0.30105392102364664,0.8611793611793612,0.6888956867543591,0.7861735883495817,0.9165707982695886,True,-0.0,6,0.041440875036641955,942,NegGrad+,1e-05,0.1
s1_random_1_percent,Random 1%,NegGrad+,1e-05,0.5,1,0.3105779745076832,0.29543553074898077,-0.1628602091331928,0.304717550587933,5.965832381221725e-05,0.3010445099904698,0.8610428610428611,0.6884944920440637,0.7858883630215726,0.9165762233341443,True,-0.0,2,0.013532457989640534,942,NegGrad+,1e-05,0.5
s1_random_1_percent,Random 1%,NegGrad+,1e-05,0.5,2,0.3079278916991942,0.30191774814449557,-0.15696901762694643,0.3047672387277871,0.00010934646366633771,0.301048542351271,0.8610428610428611,0.6884944920440637,0.7858883630215726,0.9165696723127942,True,-0.0,4,0.030239541083574295,942,NegGrad+,1e-05,0.5
s1_random_1_percent,Random 1%,NegGrad+,1e-05,0.5,3,0.305124165544733,0.30506160506728097,-0.15259336301109247,0.3048201883048342,0.00016229604071343884,0.30105253171308943,0.8610428610428611,0.6884944920440637,0.7858883630215726,0.9165707982695886,True,-0.0,6,0.04384866601321846,942,NegGrad+,1e-05,0.5
s1_random_1_percent,Random 1%,NegGrad+,5e-05,0.1,1,0.30285559986767013,0.2902332381372563,-0.27383227567923696,0.3049724034050055,0.0003145111408847101,0.30106698453768077,0.8611793611793612,0.6890859064506267,0.7863690953930045,0.9165667038812448,True,-0.0,2,0.013659125077538192,942,NegGrad+,5e-05,0.1
s1_random_1_percent,Random 1%,NegGrad+,5e-05,0.1,2,0.317982626588721,0.3222049316119032,-0.2857621289484682,0.3052512825581065,0.0005933902939857516,0.3010891357260326,0.8611793611793612,0.6894656488549619,0.78676010947985,0.9165646566870728,True,-0.0,4,0.026716166059486568,942,NegGrad+,5e-05,0.1
s1_random_1_percent,Random 1%,NegGrad+,5e-05,0.1,3,0.3082223930205518,0.30162345230230814,-0.2780600500385664,0.3055335217923449,0.00087562952822412,0.3011110133969195,0.8609063609063609,0.6890448581019225,0.7865806729106771,0.9165599481404771,True,-0.0,6,0.040046875132247806,942,NegGrad+,5e-05,0.1
s1_random_1_percent,Random 1%,NegGrad+,5e-05,0.5,1,0.31083842850568,0.2993464225042633,-0.16116521912708617,0.30496328406863743,0.0003053918045166637,0.30106143914152944,0.8611793611793612,0.6890859064506267,0.7863690953930045,0.9165703888307543,True,-0.0,2,0.014076750027015805,942,NegGrad+,5e-05,0.5
s1_random_1_percent,Random 1%,NegGrad+,5e-05,0.5,2,0.31506118683787115,0.3207454888792763,-0.15468844614530863,0.3052105992509608,0.0005527069868400125,0.3010822085695712,0.8613158613158614,0.6896762370189371,0.7868498277644362,0.9165694675933769,True,-0.0,4,0.02725987508893013,942,NegGrad+,5e-05,0.5
