display_name,scenario,seed,subset,mean_absolute_probability_difference,prediction_agreement,mean_loss_difference_full_minus_baseline,mean_true_class_confidence_difference_full_minus_baseline,record_count
Random 5%,s2_random_5_percent,44,forget,0.013310263351420907,0.9859566998244588,0.008509883373586657,-0.0044365477458845805,1709
Random 5%,s2_random_5_percent,44,retain,0.011823902378698466,0.984975369458128,0.0002480135612274931,-0.0012634329039070426,32480
Random 5%,s2_random_5_percent,44,test,0.01217832492363043,0.9859424048041491,0.0007383027614304182,-0.0015625261250626695,7327
Different random 5%,s3_different_random_5_percent,42,forget,0.01353515896670923,0.9818607372732592,0.010518888527848429,-0.0045756013979265445,1709
Different random 5%,s3_different_random_5_percent,42,retain,0.013335269831990695,0.9858374384236454,0.003566483318089353,-0.0024898432888615842,32480
Different random 5%,s3_different_random_5_percent,42,test,0.013402316793363882,0.9852599972703698,-0.0010273824110337366,-0.0010543119154771056,7327
Different random 5%,s3_different_random_5_percent,43,forget,0.011269621004331534,0.9882972498537156,0.010669933768662838,-0.0018005576445626404,1709
Different random 5%,s3_different_random_5_percent,43,retain,0.010558027368530476,0.9866071428571429,2.3763534680059138e-05,0.0008393568860967583,32480
Different random 5%,s3_different_random_5_percent,43,test,0.01057195972690116,0.9852599972703698,-0.0009379152746425472,0.001156910674053588,7327
Different random 5%,s3_different_random_5_percent,44,forget,0.013584458829880755,0.9888823873610298,0.013595144325434603,-0.006651666135071614,1709
Different random 5%,s3_different_random_5_percent,44,retain,0.012222418038337637,0.9861453201970444,0.0032019222962199495,-0.003943125392706951,32480
Different random 5%,s3_different_random_5_percent,44,test,0.012035407330282811,0.986761293844684,0.00022940514555355596,-0.0030074162354773153,7327
Random 10%,s4_random_10_percent,42,forget,0.014625220815141999,0.9850833577069319,0.010794525919251426,-0.0017577079691332782,3419
Random 10%,s4_random_10_percent,42,retain,0.014321319603901844,0.9858628534286643,-5.2735417128471266e-05,0.00216687753726244,30770
Random 10%,s4_random_10_percent,42,test,0.014669491762104825,0.9852599972703698,0.0002031561768640385,0.0019842478002539046,7327
Random 10%,s4_random_10_percent,43,forget,0.01591256509566169,0.9786487276981574,0.008648186846723896,-0.0006792098599747281,3419
Random 10%,s4_random_10_percent,43,retain,0.015845947565020942,0.9820279493012675,-0.0024313772702976486,0.0029319696895486517,30770
Random 10%,s4_random_10_percent,43,test,0.015876709799724373,0.9817114780947181,0.0013822357012383498,0.001545736136136837,7327
Random 10%,s4_random_10_percent,44,forget,0.01438833555815444,0.9836209417958467,0.012838575524146826,-0.0041857262797932605,3419
Random 10%,s4_random_10_percent,44,retain,0.013453466846715976,0.9858628534286643,0.0024577225068792776,-0.0006497851495120393,30770
Random 10%,s4_random_10_percent,44,test,0.013745010586797913,0.9860788863109049,0.0010616587160126715,2.1731105893347177e-05,7327
Date retention expiry,s5_retention_expiry,42,forget,0.014160021962723746,0.9840425531914894,0.01065937610657724,-0.0013132514096937623,6204
Date retention expiry,s5_retention_expiry,42,retain,0.01344794539332021,0.9869572985527961,0.0017185372665385291,0.0015046838845254,27985
Date retention expiry,s5_retention_expiry,42,test,0.013844798732830569,0.9863518493244166,0.00021592072039991068,0.0020133766379877853,7327
Date retention expiry,s5_retention_expiry,43,forget,0.016293337590182203,0.9806576402321083,0.009346836118360001,-0.0020295926634306934,6204
Date retention expiry,s5_retention_expiry,43,retain,0.015398769201484528,0.9801322136859032,-0.0013413160641217007,0.0014655426141469575,27985
Date retention expiry,s5_retention_expiry,43,test,0.015457202862593951,0.9811655520676948,0.0004328184242814897,0.0007806429017010264,7327
Date retention expiry,s5_retention_expiry,44,forget,0.013583576153280355,0.9824306898774984,0.012297771337782414,-0.0036070232827448766,6204
Date retention expiry,s5_retention_expiry,44,retain,0.01297207217822199,0.9856351616937645,-0.0013575763385993745,0.0010803885115018108,27985
Date retention expiry,s5_retention_expiry,44,test,0.012936279753670323,0.9852599972703698,0.0009188610130726667,0.0002878837501393219,7327
