display_name,scenario,seed,attack_score,test,attack_auroc,attack_auc_ci_low,attack_auc_ci_high,bootstrap_resamples,tpr_at_fpr_0.01,tpr_at_fpr_0.05,member_count,non_member_count,wasserstein_distance,mean_loss_difference_forget_minus_test,mean_true_class_confidence_difference_forget_minus_test
Different random 5%,s3_different_random_5_percent,42,true_class_confidence,full_retraining_forget_vs_matched_test_group_distinguishability,0.4873733214959114,0.4678789681242149,0.50684592052333,2000,0.008191925102399064,0.0497366881217086,1709,1709,0.009954631730416575,0.02559855161009944,-0.009107592285882093
Different random 5%,s3_different_random_5_percent,43,negative_loss,full_retraining_forget_vs_matched_test_group_distinguishability,0.48715419451833325,0.4674580003773093,0.5062873949602851,2000,0.008777062609713282,0.049151550614394385,1709,1709,0.033456066692206916,0.030912266124742294,-0.009642243922594829
Different random 5%,s3_different_random_5_percent,43,true_class_confidence,full_retraining_forget_vs_matched_test_group_distinguishability,0.4871514554311135,0.4674552398909706,0.5062852036905092,2000,0.008777062609713282,0.049151550614394385,1709,1709,0.010238316493156756,0.030912266124742294,-0.009642243922594829
Different random 5%,s3_different_random_5_percent,44,negative_loss,full_retraining_forget_vs_matched_test_group_distinguishability,0.48805809330084315,0.4685823700020646,0.5074703596524235,2000,0.007021650087770626,0.04798127559976594,1709,1709,0.028271746992067068,0.02529829608080575,-0.009213690583289247
Different random 5%,s3_different_random_5_percent,44,true_class_confidence,full_retraining_forget_vs_matched_test_group_distinguishability,0.4880596340374043,0.46858600357245445,0.5074708261532156,2000,0.007021650087770626,0.04798127559976594,1709,1709,0.00980506314973839,0.02529829608080575,-0.009213690583289247
Random 10%,s4_random_10_percent,42,negative_loss,full_retraining_forget_vs_matched_test_group_distinguishability,0.5000437997628824,0.48654187270163524,0.5133488920157053,2000,0.00467973091547236,0.04241006142146827,3419,3419,0.009343037848055175,-0.0031954653226076157,0.0017958334855842084
Random 10%,s4_random_10_percent,42,true_class_confidence,full_retraining_forget_vs_matched_test_group_distinguishability,0.5000428159791458,0.486538680751142,0.5133468314165092,2000,0.004972214097689383,0.04241006142146827,3419,3419,0.0024505194068392484,-0.0031954653226076157,0.0017958334855842084
Random 10%,s4_random_10_percent,43,negative_loss,full_retraining_forget_vs_matched_test_group_distinguishability,0.5010224079415814,0.48720265992024847,0.5145814383020886,2000,0.005557180462123428,0.041532611874817195,3419,3419,0.009263955612583264,-0.002560300730773568,0.0017792294071236059
Random 10%,s4_random_10_percent,43,true_class_confidence,full_retraining_forget_vs_matched_test_group_distinguishability,0.5010216807970804,0.4872044146910222,0.514580001122369,2000,0.005557180462123428,0.041532611874817195,3419,3419,0.0027371964332750863,-0.002560300730773568,0.0017792294071236059
Random 10%,s4_random_10_percent,44,negative_loss,full_retraining_forget_vs_matched_test_group_distinguishability,0.4999875957702775,0.4860864043568446,0.5142028676269365,2000,0.0058496636443404505,0.04065516232816613,3419,3419,0.009875820148079764,-0.0032493340067508703,0.001210421630596481
Random 10%,s4_random_10_percent,44,true_class_confidence,full_retraining_forget_vs_matched_test_group_distinguishability,0.4999884084611903,0.4860876437104867,0.5142038417867018,2000,0.0058496636443404505,0.04065516232816613,3419,3419,0.002958003406532209,-0.0032493340067508703,0.001210421630596481
Date retention expiry,s5_retention_expiry,42,negative_loss,full_retraining_forget_vs_matched_test_group_distinguishability,0.5038550527498118,0.4931482253551191,0.5144141308788324,2000,0.007414571244358479,0.050934880722114766,6204,6204,0.007454363547145737,-0.002026680980226292,0.0018677659724036788
Date retention expiry,s5_retention_expiry,42,true_class_confidence,full_retraining_forget_vs_matched_test_group_distinguishability,0.5038557802187478,0.4931475985626877,0.5144145663859051,2000,0.007736943907156673,0.050934880722114766,6204,6204,0.0028592630933575564,-0.002026680980226292,0.0018677659724036788
Date retention expiry,s5_retention_expiry,43,negative_loss,full_retraining_forget_vs_matched_test_group_distinguishability,0.5040302038866795,0.49398665733635794,0.5147074658396176,2000,0.007736943907156673,0.05109606705351386,6204,6204,0.00783320711849254,-0.001637110978530143,0.0019707562075448326
Date retention expiry,s5_retention_expiry,43,true_class_confidence,full_retraining_forget_vs_matched_test_group_distinguishability,0.5040296063229106,0.49398663752581995,0.5147069065978731,2000,0.007736943907156673,0.05109606705351386,6204,6204,0.0032986935078504224,-0.001637110978530143,0.0019707562075448326
Date retention expiry,s5_retention_expiry,44,negative_loss,full_retraining_forget_vs_matched_test_group_distinguishability,0.503767132932685,0.4936270239744663,0.5140465346549573,2000,0.007575757575757576,0.05045132172791747,6204,6204,0.007276322637596226,-0.0019067230395968804,0.0016021320678526463
Date retention expiry,s5_retention_expiry,44,true_class_confidence,full_retraining_forget_vs_matched_test_group_distinguishability,0.5037685229179736,0.4936285178838885,0.5140470984433828,2000,0.00789813023855577,0.05077369439071567,6204,6204,0.002711900938634153,-0.0019067230395968804,0.0016021320678526463
