display_name,scenario,seed,attack_score,baseline_mean,full_retraining_mean,mean_paired_change,median_paired_change,paired_change_ci_low,paired_change_ci_high,percentage_decreased,standardised_effect_size,record_count
Random 5%,s2_random_5_percent,44,negative_loss,-0.29101707487374723,-0.2995269582473339,-0.008509883373586657,-0.00098419189453125,-0.010982897848412236,-0.0060548486626093145,73.72732592159157,-0.15960648863381188,1709
Random 5%,s2_random_5_percent,44,true_class_confidence,0.8079350520526982,0.8034985043068137,-0.0044365477458845805,-0.0009485483169555664,-0.0055619400597464634,-0.0033085310627990285,73.72732592159157,-0.18355210571433886,1709
Different random 5%,s3_different_random_5_percent,42,negative_loss,-0.3198509678534641,-0.33036985638131255,-0.010518888527848429,-0.0017052888870239258,-0.014297037351383792,-0.007141756270640198,70.91866588648332,-0.1346842260312853,1709
Different random 5%,s3_different_random_5_percent,42,true_class_confidence,0.7988468539517346,0.7942712525538081,-0.0045756013979265445,-0.0016095638275146484,-0.005744408257992559,-0.003440385694812143,70.91866588648332,-0.18774986310590272,1709
Different random 5%,s3_different_random_5_percent,43,negative_loss,-0.3220048184838369,-0.3326747522524997,-0.010669933768662838,0.00021044793538749218,-0.015023567146962104,-0.006875675600715531,38.5020479812756,-0.1178601615345608,1709
Different random 5%,s3_different_random_5_percent,43,true_class_confidence,0.7995395609366509,0.7977390032920882,-0.0018005576445626404,0.00020962953567504883,-0.002794376306777447,-0.0008626122277502352,38.5020479812756,-0.0860082404519944,1709
Different random 5%,s3_different_random_5_percent,44,negative_loss,-0.31613570529855284,-0.32973084962398747,-0.013595144325434603,-0.0016274452209472656,-0.01978773642127005,-0.008694901529599708,76.65301345816266,-0.11937368882562842,1709
Different random 5%,s3_different_random_5_percent,44,true_class_confidence,0.8005462526317537,0.7938945864966821,-0.006651666135071614,-0.0015156269073486328,-0.007818185267646742,-0.005497682840146334,76.65301345816266,-0.27407292466647526,1709
Random 10%,s4_random_10_percent,42,negative_loss,-0.2973018694674473,-0.30809639538669875,-0.010794525919251426,-1.430511474609375e-05,-0.013517713432849824,-0.008062567072579688,51.59403334308277,-0.13398896892776652,3419
Random 10%,s4_random_10_percent,42,true_class_confidence,0.8068262686360215,0.8050685606668881,-0.0017577079691332782,-1.4185905456542969e-05,-0.002637511281856794,-0.0008742478290223011,51.68177829774788,-0.06529018047834668,3419
Random 10%,s4_random_10_percent,43,negative_loss,-0.2992711794725667,-0.30791936631929057,-0.008648186846723896,0.0003857612609863281,-0.01160483765600699,-0.005852803248926458,33.664814273179296,-0.10504602032143774,3419
Random 10%,s4_random_10_percent,43,true_class_confidence,0.8071624204588869,0.8064832105989121,-0.0006792098599747281,0.0003724098205566406,-0.001674027759897103,0.0002902968103997954,33.664814273179296,-0.02405390778775382,3419
Random 10%,s4_random_10_percent,44,negative_loss,-0.2954938641368172,-0.308332439660964,-0.012838575524146826,-0.0003237724304199219,-0.015609958147772066,-0.010435553385917269,66.92015209125475,-0.16719250050760973,3419
Random 10%,s4_random_10_percent,44,true_class_confidence,0.8085165858183205,0.8043308595385272,-0.0041857262797932605,-0.00031691789627075195,-0.005107873954165168,-0.003272735505040276,66.92015209125475,-0.15069539299196394,3419
Date retention expiry,s5_retention_expiry,42,negative_loss,-0.31026257984731337,-0.3209219559538906,-0.01065937610657724,7.748603820800781e-05,-0.012545506154439605,-0.008710936107872245,44.680851063829785,-0.13554902109507885,6204
Date retention expiry,s5_retention_expiry,42,true_class_confidence,0.8004343873872013,0.7991211359775076,-0.0013132514096937623,7.641315460205078e-05,-0.0020079165756281196,-0.0006411021308706084,44.77756286266924,-0.048759391706704486,6204
Date retention expiry,s5_retention_expiry,43,negative_loss,-0.31099996321462825,-0.3203467993329882,-0.009346836118360001,2.2649765014648438e-05,-0.011143100226393974,-0.007649108213026605,46.27659574468085,-0.1307381146805145,6204
Date retention expiry,s5_retention_expiry,43,true_class_confidence,0.8013490804401346,0.7993194877767039,-0.0020295926634306934,2.2649765014648438e-05,-0.00271115834474369,-0.0013183233026729756,46.27659574468085,-0.07103294865115724,6204
Date retention expiry,s5_retention_expiry,44,negative_loss,-0.30887611251494085,-0.3211738838527233,-0.012297771337782414,1.0251998901367188e-05,-0.014094628177038557,-0.01057175599620945,47.340425531914896,-0.16416470980252756,6204
Date retention expiry,s5_retention_expiry,44,true_class_confidence,0.8022380631327266,0.7986310398499817,-0.0036070232827448766,9.924173355102539e-06,-0.004264794988605546,-0.0029591503855839877,47.40490006447453,-0.13709879557847632,6204
