display_name,scenario,seed,model_type,subset,accuracy,mean_loss,mean_true_class_confidence,mean_predicted_probability,positive_prediction_rate
Different random 5%,s3_different_random_5_percent,44,baseline,retain,0.8614532019704434,0.2967926414155058,0.8074767687891652,0.2389097243778333,0.20138546798029558
Different random 5%,s3_different_random_5_percent,44,baseline,test,0.8587416405077112,0.31186469278758894,0.8017820349870142,0.23742656656076275,0.19380373959328512
Different random 5%,s3_different_random_5_percent,44,full_retraining,forget,0.8531304856641311,0.32973084962398747,0.7938945864966821,0.24701986592012465,0.21006436512580456
Different random 5%,s3_different_random_5_percent,44,full_retraining,retain,0.8589901477832512,0.2999945637117258,0.8035336433964583,0.24231790690736932,0.20464901477832512
Different random 5%,s3_different_random_5_percent,44,full_retraining,test,0.8586051590009554,0.3120940979331425,0.7987746187515368,0.24091194106993052,0.19666985123515765
Random 10%,s4_random_10_percent,42,baseline,forget,0.8645802866335186,0.2973018694674473,0.8068262686360215,0.23705163770535229,0.19771863117870722
Random 10%,s4_random_10_percent,42,baseline,retain,0.8593435164120897,0.2991088801223493,0.805201114037179,0.2466921026735676,0.21202469938251545
Random 10%,s4_random_10_percent,42,baseline,test,0.8560120103725946,0.31255315462244204,0.8002792466602107,0.2437920633301503,0.20390337109321688
Random 10%,s4_random_10_percent,42,full_retraining,forget,0.8596080725358292,0.30809639538669875,0.8050685606668881,0.23634060382779265,0.195086282538754
Random 10%,s4_random_10_percent,42,full_retraining,retain,0.8589210269743256,0.29905614470522085,0.8073679915744414,0.24669158716873646,0.20997725056873578
Random 10%,s4_random_10_percent,42,full_retraining,test,0.8554660843455711,0.3127563107993061,0.8022634944604646,0.24358589025612726,0.20390337109321688
Random 10%,s4_random_10_percent,43,baseline,forget,0.8631178707224335,0.2992711794725667,0.8071624204588869,0.2245063803487771,0.17636735887686458
Random 10%,s4_random_10_percent,43,baseline,retain,0.8593110172245694,0.2999381384208256,0.8061113640693135,0.23380471339717543,0.1919077023074423
Random 10%,s4_random_10_percent,43,baseline,test,0.8576497884536646,0.31153476320222084,0.8015725832107249,0.23135968445661395,0.18643373822847004
Random 10%,s4_random_10_percent,43,full_retraining,forget,0.8604855220824803,0.30791936631929057,0.8064832105989121,0.23395279279909786,0.19420883299210295
Random 10%,s4_random_10_percent,43,full_retraining,retain,0.8610334741631459,0.297506761150528,0.8090433337588622,0.24431434940051952,0.2078648033799155
Random 10%,s4_random_10_percent,43,full_retraining,test,0.8579227514671762,0.3129169989034592,0.8031183193468617,0.24155399144311587,0.20062781493107684
