display_name,scenario,false_positive_rate,true_positive_rate,threshold
Random 1%,s1_random_1_percent,0.004305705059203444,0.20365088419851682,0.8488919734954834
Random 1%,s1_random_1_percent,0.004305705059203444,0.2127780946948089,0.8430038094520569
Random 1%,s1_random_1_percent,0.0046645138141370645,0.2127780946948089,0.8427053093910217
Random 1%,s1_random_1_percent,0.0046645138141370645,0.21791215059897318,0.8385659456253052
Random 1%,s1_random_1_percent,0.004843918191603875,0.21791215059897318,0.837703287601471
Random 1%,s1_random_1_percent,0.004843918191603875,0.22190530519110097,0.8363361358642578
Random 1%,s1_random_1_percent,0.005023322569070686,0.22190530519110097,0.8362103700637817
Random 1%,s1_random_1_percent,0.005023322569070686,0.22247575584711923,0.8357232213020325
Random 1%,s1_random_1_percent,0.005023322569070686,0.22361665715915574,0.8355279564857483
Random 1%,s1_random_1_percent,0.0052027269465374955,0.22361665715915574,0.8350136280059814
Random 1%,s1_random_1_percent,0.0052027269465374955,0.22475755847119225,0.8346449136734009
Random 1%,s1_random_1_percent,0.005382131324004306,0.22475755847119225,0.8335290551185608
Random 1%,s1_random_1_percent,0.005382131324004306,0.22589845978322876,0.8332148790359497
Random 1%,s1_random_1_percent,0.005561535701471116,0.22589845978322876,0.8330968618392944
Random 1%,s1_random_1_percent,0.005561535701471116,0.2338847689674843,0.8293942809104919
Random 1%,s1_random_1_percent,0.0057409400789379264,0.2338847689674843,0.8291833996772766
Random 1%,s1_random_1_percent,0.0057409400789379264,0.23730747290359383,0.8276355266571045
Random 1%,s1_random_1_percent,0.005920344456404736,0.23730747290359383,0.8266306519508362
Random 1%,s1_random_1_percent,0.005920344456404736,0.23844837421563034,0.825441300868988
Random 1%,s1_random_1_percent,0.006099748833871547,0.23844837421563034,0.8242658376693726
Random 1%,s1_random_1_percent,0.006099748833871547,0.24130062749572162,0.822960615158081
Random 1%,s1_random_1_percent,0.0062791532113383565,0.24130062749572162,0.8228922486305237
Random 1%,s1_random_1_percent,0.0062791532113383565,0.24586423274386765,0.8195071816444397
Random 1%,s1_random_1_percent,0.006458557588805167,0.24586423274386765,0.8193855881690979
Random 1%,s1_random_1_percent,0.006458557588805167,0.24700513405590416,0.8184059858322144
Random 1%,s1_random_1_percent,0.0068173663437387875,0.24700513405590416,0.8178572654724121
Random 1%,s1_random_1_percent,0.0068173663437387875,0.24814603536794066,0.817594051361084
Random 1%,s1_random_1_percent,0.0068173663437387875,0.2504278379920137,0.8162633776664734
Random 1%,s1_random_1_percent,0.006996770721205597,0.2504278379920137,0.8162367343902588
Random 1%,s1_random_1_percent,0.006996770721205597,0.253280091272105,0.8152572512626648
Random 1%,s1_random_1_percent,0.007176175098672408,0.253280091272105,0.8149248361587524
Random 1%,s1_random_1_percent,0.007176175098672408,0.25385054192812323,0.8148466348648071
Random 1%,s1_random_1_percent,0.007355579476139218,0.25385054192812323,0.8148461580276489
Random 1%,s1_random_1_percent,0.007355579476139218,0.2572732458642327,0.8143401145935059
Random 1%,s1_random_1_percent,0.007714388231072838,0.2572732458642327,0.8140997886657715
Random 1%,s1_random_1_percent,0.007714388231072838,0.25841414717626926,0.8135238289833069
Random 1%,s1_random_1_percent,0.007893792608539648,0.25841414717626926,0.8134174942970276
Random 1%,s1_random_1_percent,0.007893792608539648,0.25955504848830574,0.8131141066551208
Random 1%,s1_random_1_percent,0.008252601363473269,0.25955504848830574,0.8126304149627686
Random 1%,s1_random_1_percent,0.008252601363473269,0.26012549914432403,0.812518298625946
Random 1%,s1_random_1_percent,0.008611410118406888,0.26012549914432403,0.8116114139556885
Random 1%,s1_random_1_percent,0.008611410118406888,0.26240730176839705,0.8102182149887085
Random 1%,s1_random_1_percent,0.008790814495873699,0.26240730176839705,0.8102174401283264
Random 1%,s1_random_1_percent,0.008790814495873699,0.26354820308043353,0.8098957538604736
Random 1%,s1_random_1_percent,0.00897021887334051,0.26354820308043353,0.8097344636917114
Random 1%,s1_random_1_percent,0.00897021887334051,0.26811180832857956,0.8070889115333557
Random 1%,s1_random_1_percent,0.00914962325080732,0.26811180832857956,0.8070816993713379
Random 1%,s1_random_1_percent,0.00914962325080732,0.2738163148887621,0.8041597604751587
Random 1%,s1_random_1_percent,0.009329027628274129,0.2738163148887621,0.8041483163833618
Random 1%,s1_random_1_percent,0.009329027628274129,0.2749572162007986,0.8031166195869446
Random 1%,s1_random_1_percent,0.00968783638320775,0.2749572162007986,0.8024600744247437
Random 1%,s1_random_1_percent,0.00968783638320775,0.2772390188248717,0.8012635111808777
Random 1%,s1_random_1_percent,0.009867240760674561,0.2772390188248717,0.8009743690490723
Random 1%,s1_random_1_percent,0.009867240760674561,0.28237307472903594,0.7990131378173828
Random 1%,s1_random_1_percent,0.010046645138141371,0.28237307472903594,0.7988784313201904
Random 1%,s1_random_1_percent,0.010046645138141371,0.2852253280091272,0.7970074415206909
Random 1%,s1_random_1_percent,0.01022604951560818,0.2852253280091272,0.7969158291816711
Random 1%,s1_random_1_percent,0.01022604951560818,0.29092983456930976,0.7934648990631104
Random 1%,s1_random_1_percent,0.010584858270541802,0.29092983456930976,0.7928610444068909
Random 1%,s1_random_1_percent,0.010764262648008612,0.29092983456930976,0.7927944660186768
Random 1%,s1_random_1_percent,0.010764262648008612,0.29207073588134624,0.7908943295478821
Random 1%,s1_random_1_percent,0.010943667025475421,0.29264118653736454,0.7908901572227478
Random 1%,s1_random_1_percent,0.010943667025475421,0.3029092983456931,0.7821760177612305
Random 1%,s1_random_1_percent,0.010943667025475421,0.3040501996577296,0.7816100716590881
Random 1%,s1_random_1_percent,0.010943667025475421,0.3057615516257844,0.7809332013130188
Random 1%,s1_random_1_percent,0.011123071402942232,0.30633200228180263,0.7808718681335449
Random 1%,s1_random_1_percent,0.011481880157875853,0.30633200228180263,0.7806349396705627
Random 1%,s1_random_1_percent,0.011481880157875853,0.30690245293782087,0.7802897691726685
Random 1%,s1_random_1_percent,0.011840688912809472,0.30690245293782087,0.7798618078231812
Random 1%,s1_random_1_percent,0.011840688912809472,0.3074729035938391,0.7797289490699768
Random 1%,s1_random_1_percent,0.012020093290276283,0.3074729035938391,0.7789655327796936
Random 1%,s1_random_1_percent,0.012020093290276283,0.30861380490587564,0.7772137522697449
Random 1%,s1_random_1_percent,0.012199497667743094,0.30861380490587564,0.7765061259269714
Random 1%,s1_random_1_percent,0.012199497667743094,0.3091842555618939,0.7754660844802856
Random 1%,s1_random_1_percent,0.012378902045209902,0.3091842555618939,0.7753379344940186
Random 1%,s1_random_1_percent,0.012378902045209902,0.3097547062179121,0.7753136157989502
Random 1%,s1_random_1_percent,0.013096519555077143,0.3097547062179121,0.7732658982276917
Random 1%,s1_random_1_percent,0.013096519555077143,0.31717056474614946,0.7693494558334351
