seed,false_positive_rate,true_positive_rate,threshold
42,0.007355579476139218,0.2572732458642327,0.8118423819541931
42,0.007534983853606028,0.2572732458642327,0.8113064765930176
42,0.007534983853606028,0.257843696520251,0.811205267906189
42,0.008073196986006458,0.257843696520251,0.8085032105445862
42,0.008073196986006458,0.25841414717626926,0.8083893656730652
42,0.008252601363473269,0.25841414717626926,0.8083553910255432
42,0.008252601363473269,0.2606959498003423,0.8070159554481506
42,0.00843200574094008,0.2606959498003423,0.8066244721412659
42,0.00843200574094008,0.26468910439247006,0.8057007193565369
42,0.008611410118406888,0.26468910439247006,0.8055924773216248
42,0.008611410118406888,0.2652595550484883,0.805535078048706
42,0.008790814495873699,0.2652595550484883,0.8054741621017456
42,0.008790814495873699,0.2692527096406161,0.8024663925170898
42,0.00897021887334051,0.2692527096406161,0.8024173378944397
42,0.00897021887334051,0.2738163148887621,0.8006207346916199
42,0.00950843200574094,0.2738163148887621,0.800146758556366
42,0.00950843200574094,0.27438676554478036,0.7995827198028564
42,0.00968783638320775,0.27438676554478036,0.7995214462280273
42,0.00968783638320775,0.2755276668568169,0.7991943955421448
42,0.01022604951560818,0.2755276668568169,0.7987382411956787
42,0.01022604951560818,0.28066172276098117,0.7973605990409851
42,0.010584858270541802,0.28066172276098117,0.7960478067398071
42,0.010584858270541802,0.2812321734169994,0.7958961725234985
42,0.010764262648008612,0.2812321734169994,0.7952508926391602
42,0.010764262648008612,0.2852253280091272,0.7934344410896301
42,0.010943667025475421,0.28579577866514544,0.7932567000389099
42,0.010943667025475421,0.28978893325727323,0.7920799851417542
42,0.011123071402942232,0.28978893325727323,0.7917949557304382
42,0.011123071402942232,0.29264118653736454,0.7909840941429138
42,0.011123071402942232,0.293782087849401,0.7908593416213989
42,0.011661284535342662,0.293782087849401,0.7902088761329651
42,0.011661284535342662,0.3017683970336566,0.787120521068573
42,0.011840688912809472,0.3017683970336566,0.7867022156715393
42,0.011840688912809472,0.30233884768967484,0.7863901257514954
42,0.012020093290276283,0.30233884768967484,0.785900890827179
42,0.012020093290276283,0.30462065031374785,0.784195601940155
42,0.012378902045209902,0.30462065031374785,0.783413290977478
42,0.012378902045209902,0.30633200228180263,0.7808462381362915
42,0.012558306422676713,0.30633200228180263,0.7804824113845825
42,0.012558306422676713,0.31089560752994866,0.7761629819869995
42,0.012737710800143524,0.31089560752994866,0.775689959526062
42,0.012737710800143524,0.3137478608100399,0.7708407640457153
42,0.013096519555077143,0.3137478608100399,0.7694756388664246
42,0.013096519555077143,0.3154592127780947,0.7683206796646118
42,0.013275923932543954,0.31602966343411293,0.7678828835487366
42,0.013275923932543954,0.31717056474614946,0.7664323449134827
42,0.013814137064944384,0.31717056474614946,0.7642300724983215
42,0.013814137064944384,0.32116371933827725,0.7621723413467407
42,0.013993541442411194,0.32116371933827725,0.7619678974151611
42,0.013993541442411194,0.32344552196235027,0.7610248327255249
42,0.014172945819878005,0.32344552196235027,0.7608953714370728
42,0.014172945819878005,0.32458642327438675,0.7606025338172913
42,0.014352350197344816,0.32458642327438675,0.7605239152908325
42,0.014352350197344816,0.32515687393040504,0.7604519724845886
42,0.014352350197344816,0.3262977752424415,0.7601009607315063
42,0.014352350197344816,0.3291500285225328,0.7587060928344727
42,0.014531754574811625,0.3297204791785511,0.7575786113739014
42,0.014531754574811625,0.33086138049058755,0.7565813660621643
42,0.015069967707212056,0.33086138049058755,0.7563222646713257
42,0.015069967707212056,0.3354249857387336,0.7532918453216553
42,0.015249372084678867,0.3354249857387336,0.7531653046607971
42,0.015249372084678867,0.3365658870507701,0.7524551749229431
42,0.015608180839612486,0.3365658870507701,0.751747727394104
42,0.015608180839612486,0.33713633770678836,0.7517474293708801
42,0.015787585217079295,0.33713633770678836,0.7513089776039124
42,0.015787585217079295,0.3394181403308614,0.7501031756401062
42,0.015966989594546108,0.3394181403308614,0.7499425411224365
42,0.015966989594546108,0.34512264689104394,0.7453636527061462
42,0.016146393972012917,0.34512264689104394,0.7453272938728333
42,0.016146393972012917,0.34968625213918997,0.7426511645317078
42,0.016505202726946538,0.34968625213918997,0.7418047189712524
42,0.016505202726946538,0.3502567027952082,0.7417933940887451
42,0.01686401148188016,0.3502567027952082,0.7415434122085571
42,0.01686401148188016,0.35139760410724474,0.740813136100769
42,0.017043415859346968,0.35139760410724474,0.7404941320419312
42,0.017043415859346968,0.35367940673131776,0.7390170097351074
42,0.01740222461428059,0.35367940673131776,0.7381386756896973
42,0.01740222461428059,0.35482030804335424,0.7377923727035522
42,0.017581628991747398,0.35482030804335424,0.7376424074172974
42,0.017581628991747398,0.3553907586993725,0.737233579158783
42,0.01776103336921421,0.3553907586993725,0.7369369268417358
42,0.01776103336921421,0.3559612093553908,0.736650824546814
42,0.018119842124147828,0.3559612093553908,0.7345214486122131
42,0.018119842124147828,0.35938391329150027,0.731825590133667
42,0.018658055256548258,0.35938391329150027,0.7312635183334351
42,0.018658055256548258,0.35995436394751856,0.730065107345581
42,0.01883745963401507,0.35995436394751856,0.7296032309532166
42,0.01883745963401507,0.3605248146035368,0.7295217514038086
42,0.0193756727664155,0.3605248146035368,0.7284431457519531
42,0.0193756727664155,0.3622361665715916,0.7270785570144653
42,0.01955507714388231,0.3622361665715916,0.7255240678787231
42,0.01955507714388231,0.3685111237877924,0.7224776148796082
42,0.019734481521349122,0.3685111237877924,0.7222041487693787
42,0.019734481521349122,0.36965202509982886,0.7217274904251099
42,0.01991388589881593,0.36965202509982886,0.721240222454071
42,0.01991388589881593,0.3742156303479749,0.7199994325637817
42,0.020093290276282743,0.3742156303479749,0.7196967005729675
42,0.020093290276282743,0.37478608100399313,0.719340980052948
42,0.020272694653749552,0.37478608100399313,0.7186976075172424
42,0.020272694653749552,0.3753565316600114,0.7183834314346313
42,0.020631503408683173,0.3753565316600114,0.717992901802063
42,0.020631503408683173,0.3782087849401027,0.7162336111068726
42,0.020810907786149982,0.3782087849401027,0.7162313461303711
42,0.020810907786149982,0.37992013690815746,0.7156736254692078
42,0.02099031216361679,0.37992013690815746,0.7154790759086609
42,0.02099031216361679,0.3844837421563035,0.7136449217796326
42,0.021169716541083603,0.3844837421563035,0.7132386565208435
42,0.021169716541083603,0.38562464346833997,0.7130382061004639
42,0.021349120918550412,0.38562464346833997,0.7129163146018982
42,0.021349120918550412,0.39361095265259555,0.7085193395614624
42,0.021528525296017224,0.39361095265259555,0.7084217071533203
42,0.021528525296017224,0.3941814033086138,0.7083680033683777
42,0.021707929673484033,0.3941814033086138,0.7083460688591003
42,0.021707929673484033,0.3947518539646321,0.7082907557487488
42,0.021887334050950842,0.3947518539646321,0.7082889080047607
42,0.021887334050950842,0.3964632059326868,0.707050621509552
42,0.022066738428417654,0.3964632059326868,0.7068848013877869
42,0.022066738428417654,0.39988590986879635,0.7056866884231567
42,0.022246142805884463,0.39988590986879635,0.7053270936012268
42,0.022246142805884463,0.4004563605248146,0.7051969170570374
42,0.022425547183351272,0.4004563605248146,0.7051143050193787
42,0.022425547183351272,0.4027381631488876,0.7042553424835205
42,0.022604951560818085,0.4027381631488876,0.7039740085601807
42,0.022604951560818085,0.40387906446092414,0.7037049531936646
42,0.022784355938284893,0.40387906446092414,0.7036449313163757
42,0.022784355938284893,0.4055904164289789,0.7035158276557922
42,0.022963760315751706,0.4055904164289789,0.7033345103263855
42,0.022963760315751706,0.40616086708499716,0.703147828578949
42,0.023143164693218515,0.40616086708499716,0.7030002474784851
42,0.023143164693218515,0.4067313177410154,0.702983021736145
42,0.023322569070685324,0.4067313177410154,0.7028969526290894
42,0.023322569070685324,0.40844266970907017,0.7021166682243347
42,0.023860782203085754,0.40844266970907017,0.7017405033111572
42,0.023860782203085754,0.40958357102110665,0.7011232972145081
42,0.024040186580552566,0.40958357102110665,0.7004703879356384
42,0.024040186580552566,0.4112949229891614,0.6999220848083496
42,0.024219590958019375,0.4112949229891614,0.699356198310852
42,0.024219590958019375,0.414717626925271,0.6980149745941162
42,0.024398995335486187,0.414717626925271,0.6977188587188721
42,0.024398995335486187,0.41642897889332575,0.6969553232192993
42,0.024757804090419805,0.41642897889332575,0.6964731216430664
42,0.024757804090419805,0.419281232173417,0.6956682205200195
42,0.024937208467886617,0.419281232173417,0.6956173181533813
42,0.024937208467886617,0.4204221334854535,0.6950258016586304
42,0.024937208467886617,0.42156303479749,0.6946614980697632
42,0.024937208467886617,0.42213348545350826,0.6946607828140259
42,0.025116612845353426,0.42213348545350826,0.6942469477653503
42,0.025116612845353426,0.4232743867655448,0.6941213011741638
42,0.025116612845353426,0.4244152880775813,0.6939299702644348
