scenario,model,retained_test_rows,operational_threshold,threshold_label,auroc,pr_auc,brier_score,bce,f1,balanced_accuracy,precision,recall,specificity,tn,fp,fn,tp
s3_hospital_withdrawal,initial_sisa,8100,0.05,frozen_sisa_validation_threshold,0.8475027316834991,0.1936191892142159,0.024088270698683602,0.10073930270069847,0.1800132362673726,0.7441455459930173,0.10485736314572089,0.6355140186915887,0.8527770732944459,6725,1161,78,136
s3_hospital_withdrawal,sisa_replay,8100,0.05,frozen_sisa_validation_threshold,0.8381776767535513,0.1801787241734199,0.024290035389167353,0.10297519384940657,0.1705919796308084,0.7355416318046176,0.09874723655121592,0.6261682242990654,0.8449150393101699,6663,1223,80,134
s3_hospital_withdrawal,clean_retain_only_sisa_model_reference,8100,0.05,frozen_sisa_validation_threshold,0.8381776767535513,0.1801787241734199,0.024290035389167353,0.10297519384940657,0.1705919796308084,0.7355416318046176,0.09874723655121592,0.6261682242990654,0.8449150393101699,6663,1223,80,134
s3_hospital_withdrawal,original_monolithic,8100,0.07,fixed_baseline_validation_threshold,0.8854695769860702,0.2688204889778076,0.02225820246846235,0.08944024207865632,0.2774922918807811,0.7758567768267911,0.17786561264822134,0.6308411214953271,0.9208724321582551,7262,624,79,135
s3_hospital_withdrawal,monolithic_full_retraining,8100,0.07,fixed_baseline_validation_threshold,0.8799665087307211,0.26531856068046694,0.022323366201643966,0.09037167530151681,0.2571428571428571,0.7538142834456425,0.16449086161879894,0.5887850467289719,0.918843520162313,7246,640,88,126
s4_invalid_consent,initial_sisa,8100,0.05,frozen_sisa_validation_threshold,0.8442636689332795,0.20291305438558782,0.02451005005452883,0.10230892349444363,0.1863270777479893,0.7468078469349511,0.10910518053375197,0.6376146788990825,0.8560010149708196,6747,1135,79,139
s4_invalid_consent,sisa_replay,8100,0.05,frozen_sisa_validation_threshold,0.836942959105522,0.19302039498774706,0.024696834312471078,0.10421369860428731,0.18230925050641458,0.7380775847419156,0.10688836104513064,0.6192660550458715,0.8568891144379599,6754,1128,83,135
s4_invalid_consent,clean_retain_only_sisa_model_reference,8100,0.05,frozen_sisa_validation_threshold,0.836942959105522,0.19302039498774706,0.024696834312471078,0.10421369860428731,0.18230925050641458,0.7380775847419156,0.10688836104513064,0.6192660550458715,0.8568891144379599,6754,1128,83,135
s4_invalid_consent,original_monolithic,8100,0.07,fixed_baseline_validation_threshold,0.8739492374915322,0.28190973198272923,0.022436402060873415,0.091838039362066,0.2802950474183351,0.7671113371774965,0.18194254445964433,0.6100917431192661,0.924130931235727,7284,598,85,133
s4_invalid_consent,monolithic_full_retraining,8100,0.07,fixed_baseline_validation_threshold,0.8732270019484647,0.2883878668281908,0.022474720592057584,0.09196557655774797,0.2613861386138614,0.760884747269938,0.16666666666666666,0.6055045871559633,0.9162649073839128,7222,660,86,132
s5_retention_expiry,initial_sisa,7692,0.05,frozen_sisa_validation_threshold,0.8464439763898697,0.1848035344130271,0.025136052913703754,0.10429121946371221,0.19047619047619047,0.7485622036121481,0.1118421052631579,0.6415094339622641,0.8556149732620321,6400,1080,76,136
s5_retention_expiry,sisa_replay,7692,0.05,frozen_sisa_validation_threshold,0.8372250529714459,0.16497564258749176,0.02542801870522095,0.10744296552635314,0.18598195697432338,0.7428425486832813,0.10903173311635476,0.6320754716981132,0.8536096256684492,6385,1095,78,134
s5_retention_expiry,clean_retain_only_sisa_model_reference,7692,0.05,frozen_sisa_validation_threshold,0.8372250529714459,0.16497564258749176,0.02542801870522095,0.10744296552635314,0.18598195697432338,0.7428425486832813,0.10903173311635476,0.6320754716981132,0.8536096256684492,6385,1095,78,134
