scenario,display_name,epoch,subset,model,loss,accuracy,precision,recall,f1,auroc,mean_entropy,median_entropy,std_entropy
s1_random_1_percent,Random 1%,5,retain,baseline,0.29887029258355713,0.8599875912193105,0.7361773786135279,0.647254780999383,0.6888582496224804,0.9187655217332185,0.4443052184873277,0.3794381343093393,0.3730881505561839
s1_random_1_percent,Random 1%,5,retain,fine_tuned,0.29590611027967767,0.8634443229828345,0.7734338200659444,0.6077729796421961,0.6806687854083183,0.9209541619058497,0.43100157656598465,0.3526156621946632,0.3778410641050648
s1_random_1_percent,Random 1%,5,retain,fully_retrained,0.2994500580490726,0.8600466806511655,0.7423021582733813,0.6365206662553979,0.6853537030886748,0.9181892941254343,0.43688180260733517,0.36019366044366913,0.37275576137371247
s1_random_1_percent,Random 1%,5,validation,baseline,0.3010408610695784,0.8610428610428611,0.7425742574257426,0.6417569880205363,0.6884944920440637,0.9165791917656938,0.43425175211907346,0.36521914231444946,0.3692888096153216
s1_random_1_percent,Random 1%,5,validation,fine_tuned,0.3025742834122508,0.8632268632268633,0.7746891002194587,0.6041072447233314,0.6788461538461539,0.9164632182158519,0.4207505612533658,0.33682328712660214,0.3736016577147608
s1_random_1_percent,Random 1%,5,validation,fully_retrained,0.30091478286834683,0.8630903630903631,0.7506684491978609,0.6406160867084997,0.6912896275777162,0.9165431611482672,0.42682485831106987,0.34409576316848334,0.36888990471665406
s1_random_1_percent,Random 1%,5,test,baseline,0.312553161063312,0.8560120103725946,0.7336010709504686,0.6252139189960069,0.6750846935632892,0.9096566939119795,0.44835343633836,0.395422048126605,0.372275857712718
s1_random_1_percent,Random 1%,5,test,fine_tuned,0.3136430472462438,0.8590146035212228,0.7727272727272727,0.5818596691386195,0.6638464041653108,0.9096551587918073,0.4344176273721025,0.3653354589917478,0.3766019322063693
s1_random_1_percent,Random 1%,5,test,fully_retrained,0.31208210650335294,0.8577862699604204,0.742001361470388,0.6217912150598973,0.6765983860955928,0.9098553384622723,0.44110829850582406,0.3802134147657185,0.37217705002689344
s1_random_1_percent,Random 1%,8,forget,baseline,0.3046579141173976,0.847953216374269,0.6621621621621622,0.6447368421052632,0.6533333333333333,0.9093292441630392,0.42080562443019687,0.33273387884721156,0.37208628083989015
s1_random_1_percent,Random 1%,8,forget,fine_tuned,0.3065425112275813,0.8538011695906432,0.6911764705882353,0.618421052631579,0.6527777777777778,0.9084883260783538,0.40403405039810636,0.2904887553458566,0.37533103941155477
s1_random_1_percent,Random 1%,8,forget,fully_retrained,0.31426174601107815,0.847953216374269,0.6666666666666666,0.631578947368421,0.6486486486486487,0.9034922833399288,0.41313557444216326,0.3201746901400825,0.3712058653440291
s1_random_1_percent,Random 1%,8,retain,baseline,0.29887029258355713,0.8599875912193105,0.7361773786135279,0.647254780999383,0.6888582496224804,0.9187655217332185,0.4443052184873277,0.3794381343093393,0.3730881505561839
s1_random_1_percent,Random 1%,8,retain,fine_tuned,0.2934848429310192,0.8638874937217479,0.7684162062615101,0.6177668106107341,0.6849052732371247,0.922146334065875,0.4241038628763216,0.33943491769409234,0.37486412305132305
s1_random_1_percent,Random 1%,8,retain,fully_retrained,0.2994500580490726,0.8600466806511655,0.7423021582733813,0.6365206662553979,0.6853537030886748,0.9181892941254343,0.43688180260733517,0.36019366044366913,0.37275576137371247
s1_random_1_percent,Random 1%,8,validation,baseline,0.3010408610695784,0.8610428610428611,0.7425742574257426,0.6417569880205363,0.6884944920440637,0.9165791917656938,0.43425175211907346,0.36521914231444946,0.3692888096153216
s1_random_1_percent,Random 1%,8,validation,fine_tuned,0.30204700363308273,0.8624078624078624,0.7670250896057348,0.6103822019395322,0.6797966963151207,0.9164851231934918,0.4139805979329976,0.32485292369309104,0.37041564149326933
s1_random_1_percent,Random 1%,8,validation,fully_retrained,0.30091478286834683,0.8630903630903631,0.7506684491978609,0.6406160867084997,0.6912896275777162,0.9165431611482672,0.42682485831106987,0.34409576316848334,0.36888990471665406
s1_random_1_percent,Random 1%,8,test,baseline,0.312553161063312,0.8560120103725946,0.7336010709504686,0.6252139189960069,0.6750846935632892,0.9096566939119795,0.44835343633836,0.395422048126605,0.372275857712718
s1_random_1_percent,Random 1%,8,test,fine_tuned,0.3142052279878105,0.8576497884536646,0.7614138438880707,0.5898459783228751,0.6647380263580842,0.909299778471925,0.42817799653617544,0.3565101784022217,0.3738321307235517
s1_random_1_percent,Random 1%,8,test,fully_retrained,0.31208210650335294,0.8577862699604204,0.742001361470388,0.6217912150598973,0.6765983860955928,0.9098553384622723,0.44110829850582406,0.3802134147657185,0.37217705002689344
s1_random_1_percent,Random 1%,10,forget,baseline,0.3046579141173976,0.847953216374269,0.6621621621621622,0.6447368421052632,0.6533333333333333,0.9093292441630392,0.42080562443019687,0.33273387884721156,0.37208628083989015
s1_random_1_percent,Random 1%,10,forget,fine_tuned,0.30577725181866655,0.8538011695906432,0.6911764705882353,0.618421052631579,0.6527777777777778,0.9089829837752275,0.41996296997711663,0.3320736166090267,0.377581316495916
s1_random_1_percent,Random 1%,10,forget,fully_retrained,0.31426174601107815,0.847953216374269,0.6666666666666666,0.631578947368421,0.6486486486486487,0.9034922833399288,0.41313557444216326,0.3201746901400825,0.3712058653440291
s1_random_1_percent,Random 1%,10,retain,baseline,0.29887029258355713,0.8599875912193105,0.7361773786135279,0.647254780999383,0.6888582496224804,0.9187655217332185,0.4443052184873277,0.3794381343093393,0.3730881505561839
s1_random_1_percent,Random 1%,10,retain,fine_tuned,0.2930130174932244,0.8637397701421101,0.7673350681157202,0.6185070943861813,0.6849296351960651,0.9226757607198005,0.4409362313747605,0.37731051275613414,0.3765648966715595
s1_random_1_percent,Random 1%,10,retain,fully_retrained,0.2994500580490726,0.8600466806511655,0.7423021582733813,0.6365206662553979,0.6853537030886748,0.9181892941254343,0.43688180260733517,0.36019366044366913,0.37275576137371247
s1_random_1_percent,Random 1%,10,validation,baseline,0.3010408610695784,0.8610428610428611,0.7425742574257426,0.6417569880205363,0.6884944920440637,0.9165791917656938,0.43425175211907346,0.36521914231444946,0.3692888096153216
s1_random_1_percent,Random 1%,10,validation,fine_tuned,0.30183293939789896,0.8628173628173628,0.7660028449502134,0.61437535653166,0.6818613485280152,0.91630343471073,0.4314437711128024,0.36136877583931115,0.37279606732810383
s1_random_1_percent,Random 1%,10,validation,fully_retrained,0.30091478286834683,0.8630903630903631,0.7506684491978609,0.6406160867084997,0.6912896275777162,0.9165431611482672,0.42682485831106987,0.34409576316848334,0.36888990471665406
s1_random_1_percent,Random 1%,10,test,baseline,0.312553161063312,0.8560120103725946,0.7336010709504686,0.6252139189960069,0.6750846935632892,0.9096566939119795,0.44835343633836,0.395422048126605,0.372275857712718
s1_random_1_percent,Random 1%,10,test,fine_tuned,0.31423934042688617,0.8571038624266412,0.7580409356725146,0.5915573302909298,0.6645305991669337,0.9090349702422071,0.4449908847915586,0.3930233229008006,0.3758406243938144
s1_random_1_percent,Random 1%,10,test,fully_retrained,0.31208210650335294,0.8577862699604204,0.742001361470388,0.6217912150598973,0.6765983860955928,0.9098553384622723,0.44110829850582406,0.3802134147657185,0.37217705002689344
s2_random_5_percent,Random 5%,0,forget,baseline,0.2945428908652551,0.8654183733177296,0.7456647398843931,0.645,0.6916890080428955,0.9186487776928954,0.44762381704415816,0.3786801010714992,0.3733452841658729
s2_random_5_percent,Random 5%,0,forget,fine_tuned,0.2945428908652551,0.8654183733177296,0.7456647398843931,0.645,0.6916890080428955,0.9186487776928954,0.44762381704415816,0.3786801010714992,0.3733452841658729
s2_random_5_percent,Random 5%,0,forget,fully_retrained,0.3027954080525379,0.863662960795787,0.7406340057636888,0.6425,0.6880856760374833,0.9136506875477464,0.4538693762964621,0.39858724596274503,0.3757577713181466
s2_random_5_percent,Random 5%,0,retain,baseline,0.2991589285472625,0.8595751231527093,0.7348993288590604,0.6473460994730754,0.6883498462589682,0.9186793364294774,0.44388316349652834,0.3792516101547462,0.37307085822224667
s2_random_5_percent,Random 5%,0,retain,fine_tuned,0.2991589285472625,0.8595751231527093,0.7348993288590604,0.6473460994730754,0.6883498462589682,0.9186793364294774,0.44388316349652834,0.3792516101547462,0.37307085822224667
s2_random_5_percent,Random 5%,0,retain,fully_retrained,0.29812554723810963,0.8602524630541872,0.7371963710857478,0.6474746176583986,0.6894286691755046,0.919522811493981,0.44905510890814077,0.3963824942561976,0.37484084404251533
s2_random_5_percent,Random 5%,0,validation,baseline,0.3010408610695784,0.8610428610428611,0.7425742574257426,0.6417569880205363,0.6884944920440637,0.9165791917656938,0.43425175211907346,0.36521914231444946,0.3692888096153216
s2_random_5_percent,Random 5%,0,validation,fine_tuned,0.3010408610695784,0.8610428610428611,0.7425742574257426,0.6417569880205363,0.6884944920440637,0.9165791917656938,0.43425175211907346,0.36521914231444946,0.3692888096153216
s2_random_5_percent,Random 5%,0,validation,fully_retrained,0.30117424228965917,0.8628173628173628,0.7463768115942029,0.6463205932686823,0.6927545093243657,0.9164780603735986,0.43940831372990696,0.37969254405885283,0.370952290309648
